,fiscal_year,amount
8,2020,28824104
9,2021,26377964
7,2019,23628939
4,2016,21412000
5,2017,21392500
6,2018,21346469
3,2015,17875000
2,2014,6093500
0,2012,3550000
1,2013,2746137
